"name","address","lat","lng","tel","website","google_url","google_rating","google_reviews_count","opening_hours","yelp_rating","yelp_review_count","yelp_url","is_listed_yelp","is_claimed_yelp"
"Hi-Tech Auto Services","101 First Colonial Road Virginia Beach",36.8378977,-76.0223286,"+1 757-428-8977",NA,"https://maps.google.com/?cid=18387945148471799624",4.8,5,"Monday: 8:00 AM – 5:00 PM/ Tuesday: 8:00 AM – 5:00 PM/ Wednesday: 8:00 AM – 5:00 PM/ Thursday: 8:00 AM – 5:00 PM/ Friday: 8:00 AM – 5:00 PM/ Saturday: Closed/ Sunday: Closed/",5,3,"https://www.yelp.com/biz/hitech-auto-service-virginia-beach?adjust_creative=qOC01QrH4IaU62En4-mvXg&utm_campaign=yelp_api_v3&utm_medium=api_v3_phone_search&utm_source=qOC01QrH4IaU62En4-mvXg",1,1
"AutoZone","1021 VA Beach Blvd Ste 101 Virginia Beach",36.84147,-75.992146,"+1 757-491-4200","https://www.autozone.com/locations/va/virginia-beach/1021-va-beach-blvd--ste-101.html","https://maps.google.com/?cid=16691414380175318303",4.3,5,"Monday: 7:30 AM – 9:00 PM/ Tuesday: 7:30 AM – 9:00 PM/ Wednesday: 7:30 AM – 9:00 PM/ Thursday: 7:30 AM – 9:00 PM/ Friday: 7:30 AM – 9:00 PM/ Saturday: 7:30 AM – 9:00 PM/ Sunday: 8:00 AM – 8:00 PM/",3,5,"https://www.yelp.com/biz/autozone-virginia-beach-2?adjust_creative=qOC01QrH4IaU62En4-mvXg&utm_campaign=yelp_api_v3&utm_medium=api_v3_phone_search&utm_source=qOC01QrH4IaU62En4-mvXg",1,0
"East Coast Motorsports","123 Taunton Avenue Norton",41.950807,-71.1854649,"+1 774-331-2196","http://www.facebook.com/eastcoastmotorsportma","https://maps.google.com/?cid=4633858112540332816",4.2,5,"Monday: 10:00 AM – 6:00 PM/ Tuesday: 10:00 AM – 6:00 PM/ Wednesday: 10:00 AM – 6:00 PM/ Thursday: 10:00 AM – 6:00 PM/ Friday: 10:00 AM – 6:00 PM/ Saturday: 10:00 AM – 3:00 PM/ Sunday: Closed/",3.5,5,"https://www.yelp.com/biz/eastcoast-motor-sport-norton-2?adjust_creative=qOC01QrH4IaU62En4-mvXg&utm_campaign=yelp_api_v3&utm_medium=api_v3_phone_search&utm_source=qOC01QrH4IaU62En4-mvXg",1,1
"Firestone Complete Auto Care","1531 General Booth Boulevard Virginia Beach",36.7881099,-75.9989753,"+1 757-793-2558","http://local.firestonecompleteautocare.com/virginia/virginia-beach/1531-general-booth-blvd/?utm_source=google&utm_medium=organic&utm_campaign=localmaps&lw_cmp=oloc_google_localmaps_maps","https://maps.google.com/?cid=13067692688707458251",4,5,"Monday: 7:00 AM – 7:00 PM/ Tuesday: 7:00 AM – 7:00 PM/ Wednesday: 7:00 AM – 7:00 PM/ Thursday: 7:00 AM – 7:00 PM/ Friday: 7:00 AM – 7:00 PM/ Saturday: 7:00 AM – 6:00 PM/ Sunday: 9:00 AM – 5:00 PM/",3.5,34,"https://www.yelp.com/biz/firestone-complete-auto-care-virginia-beach?adjust_creative=qOC01QrH4IaU62En4-mvXg&utm_campaign=yelp_api_v3&utm_medium=api_v3_phone_search&utm_source=qOC01QrH4IaU62En4-mvXg",1,1
"Crossbay Motorsports of Howard Beach","164-01 Cross Bay Boulevard Howard Beach",40.650691,-73.837404,"+1 718-738-7618","http://www.crossbaymotorsports.com/","https://maps.google.com/?cid=10805612015738541858",4.5,5,"Monday: 9:00 AM – 5:00 PM/ Tuesday: 9:00 AM – 7:00 PM/ Wednesday: 9:00 AM – 6:00 PM/ Thursday: 9:00 AM – 7:00 PM/ Friday: 9:00 AM – 6:00 PM/ Saturday: 9:00 AM – 5:00 PM/ Sunday: Closed/",4,34,"https://www.yelp.com/biz/cross-bay-honda-howard-beach?adjust_creative=qOC01QrH4IaU62En4-mvXg&utm_campaign=yelp_api_v3&utm_medium=api_v3_phone_search&utm_source=qOC01QrH4IaU62En4-mvXg",1,1
"Virginia Beach Harley Davidson","1908 Atlantic Avenue Virginia Beach",36.8477198,-75.9751934,"+1 757-425-2458","http://www.hrhd.com/","https://maps.google.com/?cid=8295250307151491763",4.5,5,"Monday: 10:00 AM – 6:00 PM/ Tuesday: 10:00 AM – 6:00 PM/ Wednesday: 10:00 AM – 6:00 PM/ Thursday: 10:00 AM – 6:00 PM/ Friday: 10:00 AM – 6:00 PM/ Saturday: 10:00 AM – 6:00 PM/ Sunday: 10:00 AM – 6:00 PM/",4.5,3,"https://www.yelp.com/biz/virginia-beach-harley-davidson-virginia-beach-2?adjust_creative=qOC01QrH4IaU62En4-mvXg&utm_campaign=yelp_api_v3&utm_medium=api_v3_phone_search&utm_source=qOC01QrH4IaU62En4-mvXg",1,1
"Gold Coast Motorsports","2070 Jericho Turnpike New Hyde Park",40.7362886,-73.6721182,"+1 516-352-7474","http://www.goldcoastmotorsports.com/","https://maps.google.com/?cid=6063756227541680021",3.5,5,"Monday: 10:00 AM – 6:00 PM/ Tuesday: 10:00 AM – 6:00 PM/ Wednesday: 10:00 AM – 6:00 PM/ Thursday: 10:00 AM – 6:30 PM/ Friday: 10:00 AM – 6:00 PM/ Saturday: 10:00 AM – 5:00 PM/ Sunday: Closed/",3.5,45,"https://www.yelp.com/biz/gold-coast-motorsports-new-hyde-park?adjust_creative=qOC01QrH4IaU62En4-mvXg&utm_campaign=yelp_api_v3&utm_medium=api_v3_phone_search&utm_source=qOC01QrH4IaU62En4-mvXg",1,1
"Advance Auto Parts","2161 Upton Drive Virginia Beach",36.7580499,-76.006582,"+1 757-430-8684","https://stores.advanceautoparts.com/va/virginia-beach/2161-upton-drive?utm_medium=local&utm_source=yext-gmb&utm_content=gmb-2016-12-29&utm_campaign=aap","https://maps.google.com/?cid=7242970823273428980",4.1,5,"Monday: 7:30 AM – 8:00 PM/ Tuesday: 7:30 AM – 8:00 PM/ Wednesday: 7:30 AM – 8:00 PM/ Thursday: 7:30 AM – 8:00 PM/ Friday: 7:30 AM – 8:00 PM/ Saturday: 7:30 AM – 8:00 PM/ Sunday: 8:00 AM – 7:00 PM/",3.5,3,"https://www.yelp.com/biz/advance-auto-parts-virginia-beach-6?adjust_creative=qOC01QrH4IaU62En4-mvXg&utm_campaign=yelp_api_v3&utm_medium=api_v3_phone_search&utm_source=qOC01QrH4IaU62En4-mvXg",1,1
"United Motorsports","2341 Virginia Beach Boulevard Virginia Beach",36.841087,-76.050586,"+1 757-282-6562","http://www.unitedmotorsva.com/","https://maps.google.com/?cid=16274375812062317643",3.6,5,"Monday: 10:00 AM – 6:00 PM/ Tuesday: 10:00 AM – 6:00 PM/ Wednesday: 10:00 AM – 6:00 PM/ Thursday: 10:00 AM – 6:00 PM/ Friday: 10:00 AM – 6:00 PM/ Saturday: 10:00 AM – 5:00 PM/ Sunday: Closed/",2,7,"https://www.yelp.com/biz/united-motorsports-virginia-beach?adjust_creative=qOC01QrH4IaU62En4-mvXg&utm_campaign=yelp_api_v3&utm_medium=api_v3_phone_search&utm_source=qOC01QrH4IaU62En4-mvXg",1,1
"Courthouse Automotive","2388 Princess Anne Road Virginia Beach",36.752401,-76.053695,"+1 757-453-6399","http://courthouseauto.com/","https://maps.google.com/?cid=17484672103486975981",3.9,5,"Monday: 7:30 AM – 5:00 PM/ Tuesday: 7:30 AM – 5:00 PM/ Wednesday: 7:30 AM – 5:00 PM/ Thursday: 7:30 AM – 5:00 PM/ Friday: 7:30 AM – 5:00 PM/ Saturday: Closed/ Sunday: Closed/",4.5,10,"https://www.yelp.com/biz/courthouse-automotive-virginia-beach?adjust_creative=qOC01QrH4IaU62En4-mvXg&utm_campaign=yelp_api_v3&utm_medium=api_v3_phone_search&utm_source=qOC01QrH4IaU62En4-mvXg",1,1
